Accession,Organism Name,github folder,URL,Dataset
NC_000907,Haemophilus influenzae Rd KW20,https://github.com/leannmlindsey/Phi-BERT/tree/main/BENCHMARKING/REFERENCE/,https://github.com/leannmlindsey/Phi-BERT/tree/main/BENCHMARKING/REFERENCE/NC_000907.csv,Casjens 2003
NC_000913,Escherichia coli K12,https://github.com/leannmlindsey/Phi-BERT/tree/main/BENCHMARKING/REFERENCE/,https://github.com/leannmlindsey/Phi-BERT/tree/main/BENCHMARKING/REFERENCE/NC_000913.csv,Casjens 2004
NC_000962,Mycobacterium tuberculosis H37Rv,https://github.com/leannmlindsey/Phi-BERT/tree/main/BENCHMARKING/REFERENCE/,https://github.com/leannmlindsey/Phi-BERT/tree/main/BENCHMARKING/REFERENCE/NC_000962.csv,Casjens 2005
NC_000964,Bacillus subtilis subsp. subtilis str. 168,https://github.com/leannmlindsey/Phi-BERT/tree/main/BENCHMARKING/REFERENCE/,https://github.com/leannmlindsey/Phi-BERT/tree/main/BENCHMARKING/REFERENCE/NC_000964.csv,Casjens 2006
NC_002488,Xylella fastidiosa 9a5c,https://github.com/leannmlindsey/Phi-BERT/tree/main/BENCHMARKING/REFERENCE/,https://github.com/leannmlindsey/Phi-BERT/tree/main/BENCHMARKING/REFERENCE/NC_002488.csv,Casjens 2007
NC_002516,Pseudomonas aeruginosa PAO1,https://github.com/leannmlindsey/Phi-BERT/tree/main/BENCHMARKING/REFERENCE/,https://github.com/leannmlindsey/Phi-BERT/tree/main/BENCHMARKING/REFERENCE/NC_002516.csv,Casjens 2008
NC_002570,Bacillus halodurans C-125,https://github.com/leannmlindsey/Phi-BERT/tree/main/BENCHMARKING/REFERENCE/,https://github.com/leannmlindsey/Phi-BERT/tree/main/BENCHMARKING/REFERENCE/NC_002570.csv,Casjens 2009
NC_002655,Escherichia coli O157:H7 EDL933,https://github.com/leannmlindsey/Phi-BERT/tree/main/BENCHMARKING/REFERENCE/,https://github.com/leannmlindsey/Phi-BERT/tree/main/BENCHMARKING/REFERENCE/NC_002655.csv,Casjens 2010
NC_002662,Lactococcus lactis subsp. lactis Il1403,https://github.com/leannmlindsey/Phi-BERT/tree/main/BENCHMARKING/REFERENCE/,https://github.com/leannmlindsey/Phi-BERT/tree/main/BENCHMARKING/REFERENCE/NC_002662.csv,Casjens 2011
NC_002678,Mesorhizobium loti MAFF303099,https://github.com/leannmlindsey/Phi-BERT/tree/main/BENCHMARKING/REFERENCE/,https://github.com/leannmlindsey/Phi-BERT/tree/main/BENCHMARKING/REFERENCE/NC_002678.csv,Casjens 2012
NC_002737,Streptococcus pyogenes M1 GAS,https://github.com/leannmlindsey/Phi-BERT/tree/main/BENCHMARKING/REFERENCE/,https://github.com/leannmlindsey/Phi-BERT/tree/main/BENCHMARKING/REFERENCE/NC_002737.csv,Casjens 2014
NC_002758,Staphylococcus aureus subsp. aureus Mu50,https://github.com/leannmlindsey/Phi-BERT/tree/main/BENCHMARKING/REFERENCE/,https://github.com/leannmlindsey/Phi-BERT/tree/main/BENCHMARKING/REFERENCE/NC_002758.csv,Casjens 2016
NC_002947,Pseudomonas putida KT2440,https://github.com/leannmlindsey/Phi-BERT/tree/main/BENCHMARKING/REFERENCE/,https://github.com/leannmlindsey/Phi-BERT/tree/main/BENCHMARKING/REFERENCE/NC_002947.csv,Casjens 2018
NC_003112,Neisseria meningitidis MC58,https://github.com/leannmlindsey/Phi-BERT/tree/main/BENCHMARKING/REFERENCE/,https://github.com/leannmlindsey/Phi-BERT/tree/main/BENCHMARKING/REFERENCE/NC_003112.csv,Casjens 2022
NC_003143,Yersinia pestis CO92,https://github.com/leannmlindsey/Phi-BERT/tree/main/BENCHMARKING/REFERENCE/,https://github.com/leannmlindsey/Phi-BERT/tree/main/BENCHMARKING/REFERENCE/NC_003143.csv,Casjens 2024
NC_003198,Salmonella enterica subsp. enterica serovar Typhi str. CT18,https://github.com/leannmlindsey/Phi-BERT/tree/main/BENCHMARKING/REFERENCE/,https://github.com/leannmlindsey/Phi-BERT/tree/main/BENCHMARKING/REFERENCE/NC_003198.csv,Casjens 2027
NC_003210,Listeria monocytogenes EGD-e,https://github.com/leannmlindsey/Phi-BERT/tree/main/BENCHMARKING/REFERENCE/,https://github.com/leannmlindsey/Phi-BERT/tree/main/BENCHMARKING/REFERENCE/NC_003210.csv,Casjens 2028
NC_003212,Listeria innocua Clip11262,https://github.com/leannmlindsey/Phi-BERT/tree/main/BENCHMARKING/REFERENCE/,https://github.com/leannmlindsey/Phi-BERT/tree/main/BENCHMARKING/REFERENCE/NC_003212.csv,Casjens 2029
NC_003295,Ralstonia solanacearum GMI1000,https://github.com/leannmlindsey/Phi-BERT/tree/main/BENCHMARKING/REFERENCE/,https://github.com/leannmlindsey/Phi-BERT/tree/main/BENCHMARKING/REFERENCE/NC_003295.csv,Casjens 2030
NC_003366,Clostridium perfringens str. 13,https://github.com/leannmlindsey/Phi-BERT/tree/main/BENCHMARKING/REFERENCE/,https://github.com/leannmlindsey/Phi-BERT/tree/main/BENCHMARKING/REFERENCE/NC_003366.csv,Casjens 2031
NC_003485,Streptococcus pyogenes MGAS8232,https://github.com/leannmlindsey/Phi-BERT/tree/main/BENCHMARKING/REFERENCE/,https://github.com/leannmlindsey/Phi-BERT/tree/main/BENCHMARKING/REFERENCE/NC_003485.csv,Casjens 2032
NC_003919,Xanthomonas axonopodis pv. citri str. 306,https://github.com/leannmlindsey/Phi-BERT/tree/main/BENCHMARKING/REFERENCE/,https://github.com/leannmlindsey/Phi-BERT/tree/main/BENCHMARKING/REFERENCE/NC_003919.csv,Casjens 2034
NC_003923,Staphylococcus aureus subsp. aureus MW2,https://github.com/leannmlindsey/Phi-BERT/tree/main/BENCHMARKING/REFERENCE/,https://github.com/leannmlindsey/Phi-BERT/tree/main/BENCHMARKING/REFERENCE/NC_003923.csv,Casjens 2035
NC_004070,Streptococcus pyogenes MGAS315,https://github.com/leannmlindsey/Phi-BERT/tree/main/BENCHMARKING/REFERENCE/,https://github.com/leannmlindsey/Phi-BERT/tree/main/BENCHMARKING/REFERENCE/NC_004070.csv,Casjens 2037
NC_004088,Yersinia pestis KIM,https://github.com/leannmlindsey/Phi-BERT/tree/main/BENCHMARKING/REFERENCE/,https://github.com/leannmlindsey/Phi-BERT/tree/main/BENCHMARKING/REFERENCE/NC_004088.csv,Casjens 2038
NC_004307,Bifidobacterium longum NCC2705,https://github.com/leannmlindsey/Phi-BERT/tree/main/BENCHMARKING/REFERENCE/,https://github.com/leannmlindsey/Phi-BERT/tree/main/BENCHMARKING/REFERENCE/NC_004307.csv,Casjens 2040
NC_004337,Shigella flexneri 2a str. 301,https://github.com/leannmlindsey/Phi-BERT/tree/main/BENCHMARKING/REFERENCE/,https://github.com/leannmlindsey/Phi-BERT/tree/main/BENCHMARKING/REFERENCE/NC_004337.csv,Casjens 2042
NC_004347,Shewanella oneidensis MR-1,https://github.com/leannmlindsey/Phi-BERT/tree/main/BENCHMARKING/REFERENCE/,https://github.com/leannmlindsey/Phi-BERT/tree/main/BENCHMARKING/REFERENCE/NC_004347.csv,Casjens 2043
NC_004431,Escherichia coli CFT073,https://github.com/leannmlindsey/Phi-BERT/tree/main/BENCHMARKING/REFERENCE/,https://github.com/leannmlindsey/Phi-BERT/tree/main/BENCHMARKING/REFERENCE/NC_004431.csv,Casjens 2044
NC_004556,Xylella fastidiosa Temecula1,https://github.com/leannmlindsey/Phi-BERT/tree/main/BENCHMARKING/REFERENCE/,https://github.com/leannmlindsey/Phi-BERT/tree/main/BENCHMARKING/REFERENCE/NC_004556.csv,Casjens 2045
NC_004557,Clostridium tetani E88,https://github.com/leannmlindsey/Phi-BERT/tree/main/BENCHMARKING/REFERENCE/,https://github.com/leannmlindsey/Phi-BERT/tree/main/BENCHMARKING/REFERENCE/NC_004557.csv,Casjens 2046
